goos: linux
goarch: amd64
pkg: k8s.io/component-helpers/resource
cpu: AMD EPYC 7B13
BenchmarkPodRequests/func=PodRequests/pod=SimplePod/opts=Default-64         	 1702802	       693.0 ns/op	     784 B/op	       4 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=PodLevelResources/opts=WithStatus-64          	 1785727	       688.3 ns/op	     736 B/op	       3 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=PodLevelResources/opts=WithReuse-64                          	 2599107	       462.7 ns/op	      96 B/op	       2 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=PodLevelResources/opts=WithReuse-64           	 5225178	       230.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=PodLevelResources/opts=WithNonMissing-64                     	  782492	      1513 ns/op	    1472 B/op	       6 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=PodLevelResources/opts=WithNonMissing-64      	  925582	      1313 ns/op	    1424 B/op	       5 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=PodLevelResources/opts=WithAll-64                            	 1000000	      1119 ns/op	     784 B/op	       4 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=PodLevelResources/opts=WithAll-64             	 1385332	       864.4 ns/op	     736 B/op	       3 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=WithStatus/opts=Default-64                                   	 1671921	       718.6 ns/op	     784 B/op	       4 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=WithStatus/opts=Default-64                    	 1835814	       652.5 ns/op	     736 B/op	       3 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=WithStatus/opts=WithStatus-64                                	  814832	      1476 ns/op	    1472 B/op	       6 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=WithStatus/opts=WithStatus-64                 	  890589	      1413 ns/op	    1424 B/op	       5 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=WithStatus/opts=WithReuse-64                                 	 4186294	       287.7 ns/op	      96 B/op	       2 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=WithStatus/opts=WithReuse-64                  	 5220067	       231.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=WithStatus/opts=WithNonMissing-64                            	  945496	      1374 ns/op	    1472 B/op	       6 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=WithStatus/opts=WithNonMissing-64             	  957040	      1274 ns/op	    1424 B/op	       5 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=WithStatus/opts=WithAll-64                                   	  709417	      1677 ns/op	    1472 B/op	       6 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=WithStatus/opts=WithAll-64                    	  738506	      1627 ns/op	    1424 B/op	       5 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=FullHouse/opts=Default-64                                    	  340754	      3529 ns/op	    1424 B/op	       5 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=FullHouse/opts=Default-64                     	  376770	      3057 ns/op	    1376 B/op	       4 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=FullHouse/opts=WithStatus-64                                 	  123430	      9695 ns/op	    7880 B/op	      31 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=FullHouse/opts=WithStatus-64                  	  151072	      8197 ns/op	    6880 B/op	      20 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=FullHouse/opts=WithReuse-64                                  	  382531	      3123 ns/op	     736 B/op	       3 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=FullHouse/opts=WithReuse-64                   	  450474	      2642 ns/op	     688 B/op	       2 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=FullHouse/opts=WithNonMissing-64                             	  123177	      8777 ns/op	    6928 B/op	      21 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=FullHouse/opts=WithNonMissing-64              	  147434	      8308 ns/op	    6880 B/op	      20 allocs/op
BenchmarkPodRequests/func=PodRequests/pod=FullHouse/opts=WithAll-64                                    	   82969	     14718 ns/op	   12696 B/op	      45 allocs/op
BenchmarkPodRequests/func=AggregateContainerRequests/pod=FullHouse/opts=WithAll-64                     	   91524	     12810 ns/op	   11696 B/op	      34 allocs/op
PASS
ok  	k8s.io/component-helpers/resource	84.181s
